-1,-1
596,598
-1,-1
3,13
222,1060
1851,757
-1,-1
220,1330
4572,1370
1745,621
-1,-1
692,331
-1,-1
-1,-1
4,4075
82,90
941,2175
-1,-1
-1,-1
-1,-1
2,31
10,36
1303,267
54,1279
1475,568
1589,0
3208,1619
1626,3246
3246,1509
1507,3126
3143,1144
1250,2764
2871,1566
1632,370
618,2001
2249,869
1482,315
316,1941
1950,480
720,2093
2341,838
861,2466
2479,917
889,2527
2507,865
833,2476
2449,478
424,2086
2036,357
0,1968
1605,3573
3212,313
4816,1917
314,3518
1916,5120
3516,314
4985,1783
1703,3503
3307,1603
0,3207
2145,5352
1351,1113
150,606
362,687
486,486
789,914
878,724
-1,-1
-1,-1
-1,-1
632,631
82,90
4314,1485
4630,2680
4428,1203
87,87
1144,4702
-1,-1
82,90
2819,117
3978,1018
362,2619
-1,-1
2747,1190
594,602
1933,251
-1,-1
-1,-1
257,-1
1330,1400
4741,9572
1146,223
360,1554
5156,3052
1075,5948
205,4214
2238,330
1759,1759
3491,3832
447,1261
-1,-1
-1,-1
1402,3278
880,83
1618,3133
2774,6059
1374,3875
3750,941
145,3029
9105,3670
1275,5128
1022,3369
1307,3453
1311,1833
4146,1246
5217,3429
-1,-1
-1,-1
-1,-1
8,-1
864,464
876,15
-1,-1
-1,-1
124,-1
5514,1295
1029,3417
3818,2712
1969,4955
1449,3036
1098,2603
5253,2913
7317,15537
1642,3399
1210,3721
2541,581
3565,1139
2408,824
3178,1538
3825,10380
5037,1015
6305,2283
9670,3789
-1,-1
1051,0
1699,1833
672,2006
1223,471
2820,2068
3072,6350
3031,1601
1462,183
1172,3748
8,19
2455,6789
4231,423
749,2328
126,51
647,2670
2291,453
3917,2079
2082,516
510,2167
2131,3788
3772,1639
1514,3271
3160,652
339,2287
1953,0
1271,3252
2909,315
548,1988
1418,2955
3044,1537
1724,3263
375,1639
0,1550
1622,397
564,2019
2197,971
971,244
507,1868
2133,646
972,2279
422,1037
2040,1067
1255,2685
2877,1507
1686,457
1038,2081
2661,1233
1570,0
662,1643
2293,1352
1544,2984
274,1581
2908,1626
1636,3263
666,1553
-1,-1
1174,678
516,1316
737,10
1656,873
1199,493
1400,617
1533,744
1,946
524,1228
645,1398
771,1503
935,0
509,1213
684,1386
911,0
1072,200
1134,343
1257,461
1375,534
1408,606
1440,640
1514,772
1585,889
6,906
131,1017
267,1074
387,1125
452,1219
544,1339
663,1399
791,1499
702,1363
1525,664
1506,651
1567,677
1574,795
0,839
103,41
539,671
903,4
108,48
315,197
450,448
0,823
38,911
163,964
193,1014
316,1096
369,1133
458,1236
526,1330
615,1450
707,1509
793,1569
3,17
609,191
1070,315
1065,257
1108,698
0,820
132,928
315,1054
380,1176
502,1233
640,1438
718,1616
823,1593
789,1565
314,483
19,1065
-1,-1
-1,-1
959,536
1498,84
0,1685
-1,-1
31,1394
1210,471
306,307
2588,1999
1630,69
583,3500
3787,2069
236,669
994,70
393,740
1352,1771
1154,728
2608,1407
6240,3095
766,3514
-1,-1
230,-1
-1,-1
-1,-1
-1,-1
-1,-1
416,1117
1500,2201
510,1836
147,948
423,106
1106,326
98,273
35,177
541,728
-1,-1
604,1209
-1,-1
-1,-1
-1,-1
2160,677
3819,2336
5275,3792
0,313
1490,756
1152,3232
8570,4277
10051,5758
1952,8710
-1,-1
-1,-1
-1,-1
-1,-1
1945,-1
4683,-1
6326,474
9243,3391
10706,4854
2600,7778
4061,9239
5307,10485
6719,1194
8449,2924
312,5847
1770,7305
10503,4671
11846,6014
3205,9017
4648,10460
6099,312
7499,1712
8993,3206
10436,4649
1120,5770
2889,7539
4325,8975
5766,808
7208,2250
1434,6567
2874,8007
4314,9447
5689,739
8636,3686
10081,5131
1442,6574
2885,8017
4144,9276
5753,360
7187,1794
10057,4664
1431,6096
4292,8957
5720,0
10007,4287
5381,9985
8227,2845
9653,4271
0,5698
1417,7115
2839,8537
5680,1055
6783,2158
8481,3856
0,5307
1418,6725
-1,-1
-1,-1
784,-1
2275,-1
3770,-1
346,110
623,1387
-1,-1
2324,3949
6340,7965
478,734
-1,-1
-1,-1
538,1023
-1,-1
-1,-1
2675,943
192,2424
1682,0
